time,flux
131.51183908668463,1.000526
131.53227369402157,1.0001268
131.55270820136502,1.0004321
131.57314260864223,1.0005451
131.59357711598568,1.000449
131.61401172321348,1.0003906
131.63444613049796,1.0001527
131.65488063777593,1.0004973
131.67531524500373,1.0008628
131.6957497522235,1.0012155
131.71618415944977,1.0013448
131.7366186666768,1.001179
131.75705327383912,1.0007955
131.7774876810072,1.0007228
131.79792218817602,1.0006133
131.81835679528012,1.0007075
131.8387912024482,1.000505
131.8592257095588,1.0006876
131.87966021666216,1.0008882
131.90009472371457,1.0006516
131.9205292308252,1.0012304
131.94096373787033,1.0007247
131.96139824492275,1.0005946
131.98183275191695,1.000994
132.0022672589621,1.0003686
132.02270166595554,1.000912
132.0431362729505,1.0011805
132.06357077987923,1.0008504
132.08400518681447,1.000907
132.10443969380867,1.0005506
132.12487430067995,1.0007668
132.1453087076152,1.0000916
132.16574321449298,1.0004749
132.18617782136425,1.0002557
132.20661232824204,1.000321
132.22704673506087,1.0003823
132.24748124188045,1.0007755
132.26791584869352,1.0004736
132.28835025545413,1.0002363
132.30878476226644,1.0011637
132.32921936902858,1.0008582
132.34965377573099,1.0004684
132.37008828249236,1.0005044
132.39052278918825,1.0006859
132.41095729589142,1.0005528
132.4313918025291,1.0005528
132.45182630917407,1.0000329
132.472260915878,1.0006492
132.492695322464,1.0007607
132.51312982910167,1.0005559
132.53356423562946,1.0004426
132.5539988422097,1.0001744
132.57443334879645,1.0011734
132.59486775532423,1.0007762
132.61530236185354,1.0008663
132.6357368683166,1.0007246
132.65617137478694,1.0003096
132.6766057812565,1.0009135
132.69704038772034,1.000726
132.71747489413247,1.001006
132.73790930054383,1.0008584
132.75834390689124,1.0009404
132.77877841324516,1.000176
132.79921281959832,1.000912
132.81964732594497,0.9995898
132.84008193224145,1.0002079
132.8605163385364,1.0003022
132.88095084482484,1.0001065
132.9013854510631,1.0004663
132.92181985729985,1.0004063
132.94225436347187,1.0004281
132.96268886970938,1.0003057
132.98312347588944,1.0004394
133.0035578820025,1.000572
133.0239923881236,1.0005245
133.04442689424468,1.0006009
133.0648614003585,1.0006067
133.08529590642138,1.0004348
133.10573041248426,1.0006679
133.12616491848166,1.000724
133.14659942448634,1.000473
133.16703393049102,1.0006014
133.1874684364302,1.0009693
133.20790304243565,1.000429
133.22833744832315,1.0005726
133.24877195426234,1.0007372
133.2692064600924,1.0006489
133.28964096598065,1.0001125
133.31007547180343,1.0001751
133.33050987763272,1.0001274
133.35094448340533,1.0008355
133.3713789892281,1.0005864
133.39181349494174,1.0010235
133.4122480007136,1.0002834
133.43268250641995,1.000493
133.45311701207538,1.0000236
133.47355141773005,1.0003617
133.49398602337897,1.000491
133.5144205290344,1.0011406
133.53485493463086,1.0002824
133.55528954016336,0.9996923
133.57572404576058,1.0007486
133.59615845124063,1.0007834
133.61659295677237,1.0004746
133.63702756225393,1.0004773
133.65746206766926,1.0002716
133.6778964731493,1.001091
133.69833107857266,1.0005037
133.71876558393706,1.0005101
133.7391999892934,1.0004164
133.7596344946578,1.0005175
133.78006909995747,1.0007945
133.8005035052629,1.0008231
133.82093801051087,1.0006859
133.84137251575885,1.0004132
133.86180702099955,1.0007429
133.88224152618932,1.000169
133.9026760313791,1.0003967
133.92311053650337,1.0001513
133.94354504163493,1.0007831
133.9639795467083,1.0004141
133.9844139518318,1.0006897
134.00484855684772,0.99990547
134.02528306186286,1.0008934
134.04571746686997,1.0006666
134.06615207188588,1.0007077
134.0865865767846,1.0005828
134.1070209817335,1.0001532
134.12745548663224,1.0006914
134.14789009153174,1.000298
134.16832459636498,0.99999374
134.18875900114654,1.0001012
134.20919360598782,1.0005496
134.22962811076286,1.0007939
134.2500625154862,1.0002766
134.2704970202103,1.0011132
134.2909316248697,1.000984
134.31136602953484,1.0003103
134.33180053420074,1.0004567
134.35223513880192,1.0008572
134.37266954335064,1.0009307
134.41353855244233,1.0006326
134.43397305699182,1.0004039
134.4544075614249,1.0007387
134.47484206585068,1.0004565
134.4952766702845,1.0002999
134.51571107471682,1.0005448
134.5361455790262,1.0007465
134.5565799834585,1.0002748
134.57701458777592,0.99986917
134.59744909196888,0.99989897
134.61788349628478,1.000048
134.63831800048501,0.9996688
134.65875260467874,1.0002959
134.67918710887898,0.9996398
134.69962161307922,1.0012895
134.72005611715576,1.000657
134.7404906212396,1.0003347
134.76092502532265,1.0006613
134.78135952928278,1.000128
134.80179413325095,1.000397
134.82222863733477,1.0002494
134.842663041185,1.0004267
134.8630976451459,1.0004392
134.8835321489969,1.000353
134.9039666528406,1.0002245
134.92440105669084,1.0002216
134.9448356605426,1.000895
134.9652701642699,1.0007393
134.9857045680037,1.000825
135.00613917173905,1.000609
135.02657367534994,1.0008088
135.04700807896734,1.0007894
135.06744258270191,1.0009508
135.08787718619715,1.0005462
135.10831158981455,1.0001373
135.1287460933163,1.0003808
135.14918069681153,1.0007505
135.16961520031327,1.0008904
135.19004960369784,1.0002209
135.2104841070759,1.001058
135.230918710462,1.0004166
135.25135311384656,1.0002518
135.2717876171082,1.0002272
135.29222202037636,1.0004468
135.31265662364603,1.0003271
135.33309112690768,0.9999078
135.35352553005941,1.0004003
135.37396013321268,1.0006115
135.3943946363579,1.0002103
135.414829139394,0.9998997
135.43526354254573,1.0003694
135.4556981455753,1.0001659
135.47613264849497,1.0003453
135.4965670515303,1.0000373
135.51700165444345,1.001164
135.53743615736312,1.0006317
135.5578705601656,1.0001796
135.57830506296887,1.0004343
135.5987396657656,1.000592
135.6191740685681,1.0003284
135.63960857124766,1.0001354
135.66004317405168,0.99973685
135.68047767673852,1.0004665
135.70091207930818,0.9999137
135.72134658187133,1.0002788
135.74178118444252,0.99999285
135.7622155870049,1.0002863
135.78265008957533,0.99955356
135.8030846920301,1.000394
135.82351909448334,1.0005335
135.84395359681366,0.9999204
135.86438809915126,1.0004811
135.88482260148157,0.9998553
135.90525710381917,0.99997634
135.92569160604035,0.99997383
135.94612600826076,1.0000288
135.96656061047543,1.0006901
135.9869951126966,0.99994725
136.0074295148006,1.0003463
136.02786411689885,0.9996851
136.04829861900362,1.000594
136.0687330209912,1.0000143
136.08916752297228,1.0003469
136.10960212496138,0.99970955
136.13003662682604,1.0004137
136.1504710286972,0.99976844
136.1709056305699,0.9999292
136.19134013232542,1.0000267
136.2117745340729,1.0000262
136.23220903582842,0.99991137
136.25264363757742,0.9998601
136.27307803921576,0.9993596
136.29351254085486,0.99967575
136.31394714249473,0.999521
136.33438154400937,0.99986297
136.35481604553206,0.9993316
136.37525054705475,0.99923396
136.39568504845374,0.9992472
136.41611954986,0.9993987
136.43655405126628,0.99949217
136.45698865254963,0.99969447
136.47742305395514,0.9998926
136.49785755512858,1.0004079
136.51829205641116,1.0001872
136.5387265575846,0.9999941
136.55916105875804,0.999794
136.57959555980779,0.9998057
136.60003006098123,0.9994051
136.62046456192184,0.9999883
136.64089906297158,1.000042
136.6613335639122,1.0002706
136.6817680648528,0.9999108
136.70220256578614,1.0000277
136.72263706661033,1.0000705
136.74307146743377,0.9994573
136.76350606813503,1.0000017
136.80437496966624,1.0001162
136.8248095702511,0.99923164
136.84524407095887,0.99910676
136.86567857154296,0.9992204
136.88611297201714,0.99877334
136.90654757249285,0.9991507
136.9269820729678,0.9996795
136.9474164734347,1.0002341
136.967851073794,0.99960613
136.98828557414527,1.0000837
137.00871997450304,0.9997892
137.02915447474516,0.99925977
137.04958907498803,0.99953705
137.0700234751057,0.99948514
137.0904579752314,0.99973917
137.1108925753506,0.9994049
137.13132697547553,0.9996825
137.15176147548482,0.9997808
137.1721959754941,1.0000075
137.19263057538046,0.9996793
137.21306497527257,0.9994277
137.23349947516544,0.9993838
137.25393387505028,0.9992953
137.2743684748275,0.9995314
137.29480297448754,0.9996857
137.31523737425596,0.99986345
