time,flux
1544.3605766648561,1.0086474
1544.3619655862371,1.0033809
1544.3633545071511,0.98980683
1544.3647434285315,0.984261
1544.3661323494462,0.99555427
1544.3675212708258,0.99704194
1544.3689101917405,1.0136334
1544.3702991131215,1.0020597
1544.3716880340362,0.9740554
1544.37307695495,1.0098993
1544.3744658763296,1.0193609
1544.375854797245,0.994198
1544.377243718626,1.0009581
1544.37863263954,1.0071843
1544.3800215609203,0.9957229
1544.381410481835,0.9825863
1544.3827994032147,0.9912514
1544.3841883241294,1.015925
1544.3855772455104,0.996985
1544.386966166425,0.99939954
1544.3883550873388,0.9860518
1544.3897440087185,1.0031447
1544.3911329296338,0.99698776
1544.3925218510149,0.9997173
1544.3939107719289,0.9973526
1544.3952996933092,1.0083352
1544.3966886142239,1.0075339
1544.3980775356035,0.99220383
1544.3994664565182,0.99827665
1544.4008553774336,0.9865827
1544.4022442988137,0.99177366
1544.4036332197277,0.99601793
1544.405022141108,1.0014572
1544.4064110620234,0.99342245
1544.4077999834037,0.98579293
1544.4091889043177,0.9922079
1544.410577825698,1.0105536
1544.4119667466127,1.0074191
1544.4133556675267,0.99958384
1544.414744588907,0.9849639
1544.4161335098224,1.0056571
1544.4175224312028,1.0065862
1544.4189113521165,1.0008328
1544.4203002734969,1.0000116
1544.4216891944122,1.0128495
1544.423078115327,0.99066895
1544.4244670367066,0.996141
1544.4258559576213,0.98576665
1544.4272448790016,1.0125471
1544.4286337999156,0.99119925
1544.430022721296,1.0324633
1544.4314116422113,0.989546
1544.4328005631257,0.9798565
1544.4341894845054,0.99639523
1544.43557840542,1.0127456
1544.436967326801,0.976899
1544.4383562477158,0.99486965
1544.4397451690954,1.0159453
1544.44113409001,1.0004295
1544.4425230109248,0.9917654
1544.4439119323051,0.9963767
1544.4453008532198,0.977072
1544.4466897746,0.99076605
1544.4480786955146,1.0047895
1544.4494676168943,1.0011423
1544.450856537809,1.0110987
1544.4522454587243,0.98977715
1544.4536343801046,0.99698067
1544.4550233010186,1.0062952
1544.456412222399,0.9802563
1544.4578011433136,0.99659663
1544.4591900642283,0.9975851
1544.4605789856087,1.0131906
1544.4619679065233,1.0157212
1544.4633568279035,0.9963059
1544.4647457488174,0.9965469
1544.4661346701978,1.014373
1544.4675235911131,0.9985104
1544.4689125120278,0.9959418
1544.4703014334075,0.9883133
1544.4716903543222,1.0063964
1544.4730792757025,1.0012243
1544.4744681966172,0.9881131
1544.4758571175319,1.0115657
1544.477246038912,0.99942213
1544.4786349598266,1.0066836
1544.4800238812063,0.9814832
1544.481412802121,0.99801105
1544.4828017230363,0.98185647
1544.4841906444167,0.99391174
1544.4855795653307,0.9967745
1544.4869684862454,0.9764023
1544.4883574076257,0.9905251
1544.4897463285404,1.0073234
1544.4911352499205,0.9921049
1544.4925241708352,0.9880691
1544.4939130917498,0.9934483
1544.4953020131295,0.98601663
1544.4966909340442,0.98253745
1544.4980798554252,0.9888888
1544.4994687763399,1.0026829
1544.5008576972539,0.998055
1544.5022466186342,0.9818312
1544.503635539549,1.00033
1544.5050244604636,0.97801495
1544.506413381844,1.005312
1544.5078023027584,0.98364854
1544.5091912241387,0.98729855
1544.5105801450527,0.98822486
1544.5119690659674,1.0042683
1544.5133579873484,1.0028436
1544.514746908263,0.97495097
1544.516135829177,0.97634125
1544.5175247505574,1.0175822
1544.518913671472,0.98587006
1544.5203025923868,0.9978318
1544.5216915137678,0.99696684
1544.5230804346822,1.0088915
1544.524469356062,0.99258465
1544.525858276976,0.9998284
1544.5272471978906,1.0066729
1544.5286361192716,1.0075943
1544.5300250401863,0.99229884
1544.5314139611003,1.0169065
1544.5328028824806,1.013885
1544.5341918033953,0.9950642
1544.5355807243097,1.0192779
1544.5369696456908,0.982439
1544.5383585666054,0.9977228
1544.5397474875194,1.0007995
1544.541136408899,1.0085753
1544.5425253298138,0.98394525
1544.5439142507291,1.0060657
1544.5453031721095,1.0047245
1544.5466920930235,0.99383795
1544.5480810139381,0.99424976
1544.5494699353185,0.9982441
1544.5508588562332,1.0200504
1544.5522477771483,1.0063121
1544.5536366985286,0.99036574
1544.5550256194426,1.0178186
1544.5564145403566,1.0056691
1544.557803461737,0.9897071
1544.5591923826523,1.0187736
1544.560581303567,0.9900842
1544.561970224481,0.99416214
1544.5633591458613,1.0046291
1544.564748066776,0.99890655
1544.5661369876905,1.0001777
1544.5675259090715,1.019715
1544.5689148299862,0.9856263
1544.5703037509002,1.0156059
1544.5716926722798,1.0055349
1544.5730815931945,0.98954076
1544.5744705141099,0.996235
1544.5758594350245,1.0083642
1544.5772483564042,0.99139094
1544.5786372773189,1.0033726
1544.5800261982333,0.9892474
1544.5814151196137,1.0049027
1544.582804040529,1.0011141
1544.5841929614437,1.0011837
1544.5855818823577,0.99146587
1544.5869708037374,1.0002384
1544.588359724652,1.0080296
1544.5897486455674,1.0021894
1544.5911375669477,0.99550813
1544.5925264878617,1.016427
1544.5939154087764,1.000913
1544.595304329691,0.993849
1544.5966932510712,0.9995927
1544.5980821719866,1.0032007
1544.5994710929012,1.0110039
1544.6008600138152,1.0088013
1544.602248935195,0.9899896
1544.6036378561096,0.9842153
1544.605026777025,0.9910894
1544.6064156979396,0.9899088
1544.6078046193193,1.0022434
1544.609193540234,1.0039344
1544.6105824611484,0.99603087
1544.611971382063,0.99007064
1544.613360303444,0.9945929
1544.6147492243588,1.0018268
1544.6161381452728,1.0002491
1544.6175270661868,1.0058535
1544.6189159871014,1.0181963
1544.6203049084825,1.0124652
1544.6216938293971,1.0041988
1544.6230827503118,0.99830025
1544.6244716712265,1.0073321
1544.6258605926062,1.0062344
1544.6272495135206,1.0121777
1544.628638434436,0.9988049
1544.6300273553506,0.9961111
1544.6314162762646,0.9921418
1544.6328051976443,1.0174344
1544.634194118559,1.0164227
1544.6355830394743,1.0030048
1544.636971960389,1.0181684
1544.6383608813037,1.0067884
1544.6397498026838,1.0026402
1544.6425276445125,0.99174577
1544.6439165654278,0.9982063
1544.6453054863425,1.0128324
1544.6466944077222,1.0010216
1544.6480833286362,0.99912035
1544.6494722495509,0.99328685
1544.6508611704662,0.9917196
1544.6536390122956,0.99616337
1544.655027933676,1.0051396
1544.6564168545897,0.9982703
1544.6578057755044,0.99552304
1544.6591946964197,0.9974572
1544.6605836173344,1.0018125
1544.6619725382484,1.0010034
1544.663361459628,1.001866
1544.6647503805427,1.002223
1544.666139301458,0.99537414
1544.6675282223728,0.9999819
1544.6689171432874,1.0049295
1544.670306064202,1.000292
1544.671694985116,1.0037485
1544.6730839064962,1.008059
1544.6744728274116,1.0026382
1544.6758617483263,1.010254
1544.6772506692403,1.010997
1544.6786395901543,1.0032552
1544.680028511069,1.0035524
1544.6814174319843,0.99757314
1544.682806352899,1.0002985
1544.6841952742793,0.99898064
1544.685584195194,0.9916621
1544.6869731161078,1.0157048
1544.6883620370224,0.997012
1544.6897509579378,0.9924875
1544.6911398788525,1.0068179
1544.6925287997665,0.97957957
1544.6939177206805,0.9916026
1544.6953066415952,1.0123396
1544.6966955625105,0.99455655
1544.6980844838909,0.9911601
1544.6994734048055,0.9989746
1544.70086232572,0.9874504
1544.702251246634,1.002362
1544.7036401675487,1.0130111
1544.705029088464,1.0044636
1544.7064180093787,0.9953544
1544.7078069302927,0.98834574
1544.7091958512067,1.0044922
1544.7105847721214,1.0093523
1544.7119736930367,1.0082742
1544.7133626139514,0.9986396
1544.7147515348659,0.9984567
1544.7161404557805,1.0210092
1544.7175293766945,0.9912731
1544.7189182980749,0.99348986
1544.7203072189902,1.0059493
1544.721696139905,0.9914967
1544.723085060819,1.0013173
1544.724473981733,1.0193439
1544.7258629026476,1.0082631
1544.727251823563,0.9938308
1544.7286407444774,1.0005502
1544.730029665392,1.000105
1544.7314185863067,1.0033917
1544.7328075072207,1.0043153
1544.7341964281354,1.0136416
1544.7355853490508,0.9986579
1544.7369742699655,0.98764014
1544.7383631908795,1.0009698
1544.7397521117941,1.017847
1544.7411410327088,1.016749
1544.7425299536235,1.0134063
1544.7439188745382,1.0129341
1544.7453077954526,0.9924667
1544.7466967163673,0.9852289
1544.7480856372813,1.002815
1544.749474558196,1.0029014
1544.7508634791113,1.006819
1544.752252400026,0.9932248
1544.75364132094,1.0115047
1544.7550302418547,1.0028782
1544.7564191627694,1.0233809
1544.757808083684,1.0117581
1544.7591970045985,1.0047743
1544.7605859255132,0.9888354
1544.7619748464278,1.0093184
1544.7633637673418,0.9937861
1544.7647526882565,1.0056955
1544.7661416087062,1.0008197
1544.767530529621,1.0084797
1544.768919450535,0.99314433
1544.7703083714496,1.0008137
1544.7716972923643,1.0010052
1544.773086213279,1.0002286
1544.7744751341936,0.9951629
1544.775864055108,0.9985028
1544.7772529760227,1.0152202
1544.7786418969367,0.9957017
1544.7800308178514,1.0048667
1544.7814197387668,0.9925421
1544.7828086596815,1.0045089
1544.7841975805954,0.99282587
1544.7855865010445,0.99515885
1544.7869754219591,0.9984683
1544.7883643428738,1.0124063
1544.7897532637883,1.0105505
1544.791142184703,1.0090795
1544.7925311056176,1.0052689
1544.7939200265316,1.0094432
1544.7953089474463,1.008853
1544.7966978683617,0.98952156
